name,learning_rate,d_model,n_heads,num_layers,ff_dim,dropout,runs,seeds,dev_slot_f1_mean,dev_slot_f1_std,dev_intent_accuracy_mean,dev_intent_accuracy_std,test_slot_f1_mean,test_slot_f1_std,test_intent_accuracy_mean,test_intent_accuracy_std,best_checkpoint_path
seq_d_model_64,0.0005,64,8,1,256,0.0,3,42 101 27,0.9457338442444111,0.00439083763905889,0.9839357429718877,0.0028397862698255273,0.8914311791538706,0.004779066110559788,0.9514744307577455,0.005806774612207599,/home/matteo.morellini/NLU-26/NLU/part_A/bin/seq_d_model_64_seed_101.pt
seq_d_model_128,0.0005,128,8,1,256,0.0,3,42 101 27,0.9495694799958373,0.0013218064342152063,0.9799196787148595,0.004337845179657205,0.8977970659857027,0.004778193432158801,0.9488615154908548,0.00878581731686438,/home/matteo.morellini/NLU-26/NLU/part_A/bin/seq_d_model_128_seed_42.pt
seq_d_model_256,0.0005,256,8,1,256,0.0,3,42 101 27,0.9511721229562208,0.0022250084108963106,0.9812583668005356,0.0025044560821780373,0.8981800291925984,0.0037491586281216305,0.9537140724150802,0.007333662823586598,/home/matteo.morellini/NLU-26/NLU/part_A/bin/seq_d_model_256_seed_27.pt
seq_d_model_384,0.0005,384,8,1,256,0.0,3,42 101 27,0.954206174889734,0.0005376357285521142,0.9765729585006694,0.006207241295512493,0.8939979375964535,0.001753848743998434,0.9503546099290779,0.0023010130656845843,/home/matteo.morellini/NLU-26/NLU/part_A/bin/seq_d_model_384_seed_101.pt
seq_d_model_512,0.0005,512,8,1,256,0.0,3,42 101 27,0.9529058077509246,0.0016182684312838437,0.9779116465863454,0.007146638722912509,0.8921510142346527,0.004697582261990756,0.9451287793952967,0.011956414615936505,/home/matteo.morellini/NLU-26/NLU/part_A/bin/seq_d_model_512_seed_101.pt
seq_n_heads_1,0.0005,384,1,1,256,0.0,3,42 101 27,0.9498798611938465,0.0032219023678181375,0.9712182061579652,0.011160195448817316,0.8839476059947224,0.005680780248732264,0.9343038447181785,0.004510282184992362,/home/matteo.morellini/NLU-26/NLU/part_A/bin/seq_n_heads_1_seed_101.pt
seq_n_heads_2,0.0005,384,2,1,256,0.0,3,42 101 27,0.9459188893764875,0.004481634599694395,0.9772423025435074,0.0018931908465502994,0.8888377585933004,0.006512240947453989,0.9436356849570736,0.005357484171111348,/home/matteo.morellini/NLU-26/NLU/part_A/bin/seq_n_heads_2_seed_101.pt
seq_n_heads_4,0.0005,384,4,1,256,0.0,3,42 101 27,0.9453398470121884,0.0030804105821521893,0.9825970548862116,0.0018931908465503516,0.887046502648568,0.0009474694351822944,0.9451287793952967,0.0015836658033292976,/home/matteo.morellini/NLU-26/NLU/part_A/bin/seq_n_heads_4_seed_101.pt
seq_n_heads_8,0.0005,384,8,1,256,0.0,3,42 101 27,0.954206174889734,0.0005376357285521142,0.9765729585006694,0.006207241295512493,0.8939979375964535,0.001753848743998434,0.9503546099290779,0.0023010130656845843,/home/matteo.morellini/NLU-26/NLU/part_A/bin/seq_n_heads_8_seed_101.pt
seq_n_heads_16,0.0005,384,16,1,256,0.0,3,42 101 27,0.9535481098307358,0.0016659076852400174,0.9792503346720215,0.002504456082177988,0.8956815028577152,0.002487482290531476,0.9529675251959686,0.004838178946179834,/home/matteo.morellini/NLU-26/NLU/part_A/bin/seq_n_heads_16_seed_27.pt
seq_num_layers_1,0.0005,384,8,1,256,0.0,3,42 101 27,0.954206174889734,0.0005376357285521142,0.9765729585006694,0.006207241295512493,0.8939979375964535,0.001753848743998434,0.9503546099290779,0.0023010130656845843,/home/matteo.morellini/NLU-26/NLU/part_A/bin/seq_num_layers_1_seed_101.pt
seq_num_layers_2,0.0005,384,8,2,256,0.0,3,42 101 27,0.9516238067993795,0.001372621670935109,0.9825970548862116,0.0025044560821780373,0.8980509833235973,0.006914158220576507,0.9525942515864129,0.006739630490954754,/home/matteo.morellini/NLU-26/NLU/part_A/bin/seq_num_layers_2_seed_27.pt
seq_num_layers_4,0.0005,384,8,4,256,0.0,3,42 101 27,0.9479238862492171,0.004606611368134796,0.9785809906291835,0.0009465954232751758,0.8996510815378352,0.0016833234084055512,0.944755505785741,0.0027933239169644773,/home/matteo.morellini/NLU-26/NLU/part_A/bin/seq_num_layers_4_seed_101.pt
seq_num_layers_6,0.0005,384,8,6,256,0.0,3,42 101 27,0.9485936778183746,0.003373729572315839,0.9812583668005356,0.0018931908465503516,0.8912140292028217,0.0017342032901521702,0.9477416946621874,0.006862551814427092,/home/matteo.morellini/NLU-26/NLU/part_A/bin/seq_num_layers_6_seed_42.pt
seq_num_layers_8,0.0005,384,8,8,256,0.0,3,42 101 27,0.946328229511025,0.006791005646559766,0.9846050870147257,0.005008912164356035,0.8941904996765118,0.0056527307794414245,0.9492347891004106,0.008974106218866245,/home/matteo.morellini/NLU-26/NLU/part_A/bin/seq_num_layers_8_seed_42.pt
seq_ff_dim_64,0.0005,384,8,1,64,0.0,3,42 101 27,0.9522140054728556,0.0008381580225182925,0.9846050870147257,0.0034129983357381486,0.8946620680464153,0.0013747017643517072,0.9533407988055244,0.004691976517348478,/home/matteo.morellini/NLU-26/NLU/part_A/bin/seq_ff_dim_64_seed_42.pt
seq_ff_dim_128,0.0005,384,8,1,128,0.0,3,42 101 27,0.9523447983367999,0.00275137979779092,0.9785809906291835,0.005270420263729472,0.8943029430073377,0.0053621079799465515,0.9458753266144083,0.007776284679357815,/home/matteo.morellini/NLU-26/NLU/part_A/bin/seq_ff_dim_128_seed_27.pt
seq_ff_dim_256,0.0005,384,8,1,256,0.0,3,42 101 27,0.954206174889734,0.0005376357285521142,0.9765729585006694,0.006207241295512493,0.8939979375964535,0.001753848743998434,0.9503546099290779,0.0023010130656845843,/home/matteo.morellini/NLU-26/NLU/part_A/bin/seq_ff_dim_256_seed_101.pt
seq_ff_dim_512,0.0005,384,8,1,512,0.0,3,42 101 27,0.9530180903230635,0.0015399221054593344,0.9819277108433736,1.1102230246251565e-16,0.8960616830021819,0.0014525937648503541,0.9477416946621874,0.002111554404439098,/home/matteo.morellini/NLU-26/NLU/part_A/bin/seq_ff_dim_512_seed_27.pt
